# Event_ID epsilon2 phi2
903 0.176646 -0.774976
904 0.784517 0.717383
905 0.591357 1.335220
906 0.276006 -0.964523
908 0.918390 -0.742087
909 0.287332 1.210330
910 0.741670 -0.447388
911 0.285205 -1.019620
912 0.627378 -0.454149
913 0.344683 0.432783
914 0.133384 -0.431637
915 0.244822 -0.143862
916 0.397715 1.254900
917 0.211531 -1.510810
918 0.306795 0.877321
919 0.485554 -0.221862
920 0.165874 -0.326673
921 0.063130 1.469270
922 0.423120 0.001745
923 0.895090 1.039770
925 0.042117 -0.506349
926 0.783353 -1.515160
927 0.873196 -0.914113
928 0.176355 0.796220
929 0.224780 -0.867021
930 0.400172 -1.099290
931 0.481679 0.948222
932 0.083768 0.285284
933 0.288870 1.170640
934 0.170064 1.244310
935 0.421153 -1.468910
936 0.218952 -0.883962
937 0.461358 1.095130
938 0.881706 0.014401
939 0.047084 0.483621
940 0.071953 -0.967409
941 0.186922 0.328170
942 0.206964 -0.975912
943 0.463518 0.665545
944 0.465512 1.183380
945 0.716188 0.173520
946 0.397311 -1.550890
947 0.261731 1.145700
948 0.754306 0.153084
949 0.779097 -0.823131
950 0.317538 0.762557
951 0.471624 0.492440
952 0.329502 1.114520
953 0.117178 -0.539048
954 0.376723 1.336490
955 0.085122 -0.459805
956 0.199012 -0.585082
957 0.128853 -0.469986
959 0.085471 -1.186920
960 0.631359 0.589473
961 0.237411 0.715850
962 0.551970 0.163715
963 0.186612 -1.521940
964 0.613416 1.108350
965 0.721283 -0.021407
966 0.448061 0.563999
967 0.473597 1.432960
968 0.119265 -0.670203
969 0.026771 0.246031
970 0.662004 1.465970
971 0.583311 -0.173951
972 0.209569 -0.202528
973 0.425096 1.086670
974 0.665451 0.355582
975 0.409017 0.897853
976 0.099025 -0.987624
977 0.024992 0.185387
978 0.467155 0.555443
979 0.467711 1.237910
980 0.314320 0.883212
981 0.685687 0.695550
982 0.554692 0.299698
983 0.130237 0.567686
984 0.485288 0.486981
985 0.158531 0.892735
986 0.500692 1.191090
987 0.302402 0.572375
988 0.319997 0.261368
989 0.246667 -1.028970
