# Event_ID q2 Psi_EP epsilon2 phi2
1480 3.701364 1.056359 0.356101 -0.438165
1483 3.608736 0.535911 0.411202 -1.065130
1487 4.468999 0.340645 0.635333 -1.241090
1491 3.843262 -0.420849 0.385957 1.151920
1494 2.329467 1.148688 0.374915 -0.268004
1498 2.831070 1.150757 0.245005 -0.235307
1499 1.640276 -1.540929 0.400310 -0.122892
1500 4.263161 1.029299 0.464020 -0.680373
1509 3.079555 -0.012728 0.425020 1.498960
1519 2.504120 1.321703 0.313009 -0.370726
1522 0.933814 -0.908294 0.446367 0.590040
1523 3.154350 -1.489802 0.281285 0.251460
1532 2.067279 1.306599 0.451852 -0.278496
1534 3.205937 -0.586081 0.356962 1.316860
1547 5.594916 0.694579 0.564351 -1.037250
1555 2.733176 -0.755950 0.692269 0.934620
1563 3.597326 -0.085400 0.620295 1.519540
1570 0.760187 -0.484277 0.253137 1.254280
1571 4.387390 -0.328508 0.427370 1.273020
1575 2.820808 0.241514 0.311706 -1.316960
1582 1.947651 -0.709595 0.327178 0.381185
1583 2.705294 -0.583660 0.307450 1.306670
1586 3.499831 1.109385 0.369909 -0.603065
1587 1.412305 -1.384025 0.383976 0.017718
1589 4.384148 0.124012 0.642849 -1.509870
1593 3.840585 1.330832 0.487253 -0.316529
1597 4.459885 0.512411 0.438088 -0.926705
1611 2.865314 1.179380 0.522901 -0.435414
1615 2.530644 1.384305 0.629730 -0.175419
1616 3.909537 -0.166627 0.483353 1.383350
1619 3.236244 1.424491 0.348181 -0.014917
1622 4.508820 1.178205 0.697102 -0.520318
1625 2.040438 0.639074 0.435034 -0.778848
1635 3.337413 0.028508 0.531848 -1.451750
1643 3.144308 -0.245612 0.458067 1.353000
1644 3.265520 -0.125736 0.443944 1.253000
1646 2.564359 -1.544616 0.542249 -0.094146
1651 4.583375 1.561399 0.674375 0.103235
1658 3.233567 0.184142 0.373684 -1.344150
1664 2.318483 1.219347 0.480531 -0.271621
1666 1.602367 -0.148249 0.355139 1.002220
1667 4.403997 0.214594 0.480272 -1.425880
1674 2.773824 0.907832 0.534626 -0.792734
1678 4.883674 0.909971 0.417255 -0.811820
1680 3.865254 -0.452743 0.470343 1.064500
1683 2.073011 0.455281 0.462340 -1.461870
1699 3.405489 0.072216 0.321280 -1.298500
1708 1.971036 -0.717066 0.400414 1.173480
1709 2.650579 1.452149 0.417268 -0.097448
1710 3.581958 -1.256853 0.518104 0.401378
1716 0.799568 -1.291297 0.287189 0.468279
1720 3.410796 -1.039685 0.714565 0.429306
1725 2.023830 -0.948166 0.453162 0.505706
1731 2.500024 0.517197 0.576635 -0.930926
1735 1.500999 0.743327 0.436109 -0.609049
1742 3.259431 -0.761389 0.464399 0.680285
1744 2.701028 1.127697 0.264125 -0.309256
1749 1.809024 -0.563314 0.367463 1.116210
1754 3.469152 1.062627 0.550402 -0.660809
1763 4.568170 0.223999 0.510442 -1.339800
1772 2.251422 -1.215432 0.428545 0.345010
1778 3.392894 -0.379815 0.573862 0.985124
1782 3.005742 -0.799419 0.304834 0.821479
1792 2.895987 1.439330 0.317614 -0.199728
1795 3.054503 -1.238779 0.503184 0.346970
1797 4.542139 -0.480142 0.369642 1.189450
1803 2.625721 -1.399193 0.529010 -0.122234
1809 3.165445 0.076613 0.552058 -1.569180
1815 3.198261 0.484685 0.295071 -1.028640
1816 2.965550 -1.277091 0.492522 0.293776
1819 1.031143 -0.308888 0.423382 1.160290
1822 2.265617 1.297532 0.170141 -0.384215
1824 2.782744 -1.351533 0.337572 0.341823
1827 3.760054 0.649084 0.263677 -0.729333
1829 3.223177 -0.380144 0.598451 1.069710
1831 3.317157 -1.336112 0.658005 0.247665
1837 4.942499 -0.297976 0.635929 1.256980
1851 2.159773 -1.488312 0.560192 0.453399
1854 1.562661 -0.112766 0.364421 1.179840
1865 2.659682 -1.052460 0.391483 0.790589
1866 2.621498 0.939594 0.307912 -0.452624
1869 2.937627 1.166665 0.494542 -0.545170
1877 5.938444 0.979729 0.589355 -0.744092
1885 2.667868 1.186171 0.306155 -0.428639
1889 3.690583 0.542060 0.566272 -1.165930
1892 2.473314 0.208052 0.329502 -1.210900
1895 2.837543 1.014964 0.374724 -0.584816
1897 3.024792 -1.379019 0.477779 0.133391
1904 2.528276 0.132018 0.590972 -1.469300
1910 3.271126 0.158038 0.409116 -1.388580
1916 2.210439 -0.382914 0.166786 1.375670
1924 6.045089 -0.555609 0.629529 0.991952
1926 2.450784 -0.615205 0.521567 1.101610
1929 3.667738 -0.672377 0.584000 0.906112
1933 4.290716 -0.107037 0.582669 1.488760
1945 2.950415 -0.508421 0.475714 1.141600
1953 3.786755 0.669447 0.654654 -0.868288
1955 2.375662 -1.353544 0.507817 0.258914
1960 3.878228 -1.254448 0.438532 0.447902
1961 2.019619 1.398510 0.433258 -0.404777
1963 4.159186 1.199158 0.377222 -0.278268
1967 1.979887 -0.442384 0.490748 1.039140
